Fraud_Label,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
0,725.77,41108.66,292841.02,7,7,0,4,3,0,17.949074,8.407243,2,30.950276,22.441764,0,0,0,14,157.0923505,58.85070376,0,-98.24164672,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,None,ONOT
0,91.14,64.3,712.88,5,4,0,4,5,0.5,5,2.1875,0.377203,2.851287,1.749551,0,0,0,9,8.747754943,8.75,0,0.002245057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2477.34,6928.28,892782.2,8,126,0,1,2,0.013556,0.501254,0.342666,0.1,2,1.2625,0,0,0,134,10.1,43.17587621,0,33.07587621,16,2765.749578,100,0,1,9,0,15,0,0,0,0,0,1500,184.383305,100,100,100,0,0,0,1,15,blockwell.ai KYC Casper Token,Tronix
0,0,13339.9,226778.27,0,17,1,6,0,0,11.291416,4.860215,0,0,0,0,0,0,18,0,82.62366163,0,82.62366163,3,4.804121022,0,0,0,3,0,3,0,0,0,0,0.920501,2,1.601374,0,0,0,0,0,0,0,3,None,DATAcoin
0,0,0,30.65,1,1,0,1,1,4.999,4.999,4.999,4.99774,4.99774,4.99774,0,0,0,2,4.99774,4.999,0,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1797.42,60933.08,330187.83,82,3,0,3,7,0,30,11.666667,0,30,0.760256,0,0,0,85,62.341,35,0,-27.341,11,1473.843474,0,0,0,8,0,11,0,0,0,0,0,600,133.98577,0,0,0,0,0,0,0,11,None,XENON
0,0,0,68.87,1,1,0,1,1,0.547649,0.547649,0.547649,0.546389,0.546389,0.546389,0,0,0,2,0.54638892,0.54764892,0,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,155.22,112602.93,338429.65,4,3,0,3,3,0,2.337156,1.512385,2,2.379635,2.104909,0,0,0,7,8.419634776,4.5371564,0,-3.882478376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14626.26,6594.93,955278,59,14,0,7,34,0.00979,1100,167.979641,0,500,43.052269,0,0,0,73,2540.083853,2351.714972,0,-188.368881,48,1555219.09,1545239.028,0,12,26,0,23,0,0,0,0,0,322932.1604,47127.8512,0,1230000,103015.9352,0,0,0,11,23,EOS,StatusNetwork
0,0,5498.63,291427.53,0,53,1,4,0,0,1.002204,0.504895,0,0,0,0,0,0,54,0,26.75944516,0,26.75944516,2,0.55819781,0,0,0,2,0,2,0,0,0,0,0.10587,0.452328,0.279099,0,0,0,0,0,0,0,2,None,DATAcoin
